date,sessionDefaultChannelGrouping,totalUsers
2023-07-01,Paid Other,5506
2023-07-01,Organic Social,2230
2023-07-01,Display,1773
2023-07-01,Organic Search,959
2023-07-01,Cross-network,843
2023-07-01,Direct,661
2023-07-01,Paid Search,256
2023-07-01,Referral,244
2023-07-01,Unassigned,161
2023-07-01,Paid Social,97
2023-07-01,Organic Shopping,20
2023-07-01,Paid Shopping,2
2023-07-02,Paid Other,5559
2023-07-02,Display,2629
2023-07-02,Organic Social,2129
2023-07-02,Organic Search,1077
2023-07-02,Cross-network,733
2023-07-02,Direct,637
2023-07-02,Referral,376
2023-07-02,Paid Search,253
2023-07-02,Unassigned,184
2023-07-02,Paid Social,57
2023-07-02,Paid Shopping,11
2023-07-02,Organic Shopping,6
2023-07-03,Paid Other,5863
2023-07-03,Organic Social,2190
2023-07-03,Display,1792
2023-07-03,Organic Search,970
2023-07-03,Direct,784
2023-07-03,Cross-network,701
2023-07-03,Referral,337
2023-07-03,Paid Search,264
2023-07-03,Unassigned,177
2023-07-03,Paid Social,60
2023-07-03,Organic Shopping,24
2023-07-03,Paid Shopping,12
2023-07-04,Paid Other,2854
2023-07-04,Organic Social,2807
2023-07-04,Cross-network,1092
2023-07-04,Organic Search,902
2023-07-04,Direct,858
2023-07-04,Display,297
2023-07-04,Paid Search,248
2023-07-04,Unassigned,125
2023-07-04,Referral,96
2023-07-04,Paid Social,85
2023-07-04,Organic Shopping,15
2023-07-04,Paid Shopping,7
2023-07-05,Paid Other,4435
2023-07-05,Organic Social,2913
2023-07-05,Organic Search,915
2023-07-05,Cross-network,810
2023-07-05,Direct,794
2023-07-05,Display,399
2023-07-05,Paid Search,231
2023-07-05,Unassigned,147
2023-07-05,Referral,138
2023-07-05,Paid Social,82
2023-07-05,Organic Shopping,8
2023-07-05,Paid Shopping,5
2023-07-06,Paid Other,5236
2023-07-06,Organic Social,2734
2023-07-06,Display,1533
2023-07-06,Organic Search,876
2023-07-06,Direct,758
2023-07-06,Cross-network,668
2023-07-06,Paid Search,238
2023-07-06,Referral,213
2023-07-06,Unassigned,147
2023-07-06,Paid Social,91
2023-07-06,Organic Shopping,13
2023-07-06,Paid Shopping,6
2023-07-07,Paid Other,7630
2023-07-07,Display,3659
2023-07-07,Organic Social,2746
2023-07-07,Cross-network,1092
2023-07-07,Organic Search,895
2023-07-07,Direct,814
2023-07-07,Organic Shopping,613
2023-07-07,Referral,487
2023-07-07,Paid Search,222
2023-07-07,Unassigned,205
2023-07-07,Paid Social,107
2023-07-07,Paid Shopping,5
2023-07-08,Paid Other,8857
2023-07-08,Display,3223
2023-07-08,Organic Social,2853
2023-07-08,Cross-network,1200
2023-07-08,Organic Search,1048
2023-07-08,Direct,747
2023-07-08,Referral,413
2023-07-08,Organic Shopping,411
2023-07-08,Unassigned,253
2023-07-08,Paid Search,206
2023-07-08,Paid Social,113
2023-07-08,Paid Shopping,9
2023-07-09,Paid Other,7962
2023-07-09,Organic Social,2884
2023-07-09,Display,2117
2023-07-09,Direct,1200
2023-07-09,Organic Search,1044
2023-07-09,Cross-network,862
2023-07-09,Referral,255
2023-07-09,Unassigned,240
2023-07-09,Paid Search,206
2023-07-09,Paid Social,131
2023-07-09,Organic Shopping,88
2023-07-09,Paid Shopping,6
2023-07-10,Paid Other,8890
2023-07-10,Organic Social,2629
2023-07-10,Display,1901
2023-07-10,Cross-network,1245
2023-07-10,Organic Search,956
2023-07-10,Direct,736
2023-07-10,Referral,285
2023-07-10,Unassigned,217
2023-07-10,Paid Search,162
2023-07-10,Paid Social,101
2023-07-10,Organic Shopping,59
2023-07-10,Paid Shopping,5
2023-07-11,Paid Other,6446
2023-07-11,Organic Social,2686
2023-07-11,Cross-network,965
2023-07-11,Organic Search,895
2023-07-11,Display,788
2023-07-11,Direct,738
2023-07-11,Unassigned,225
2023-07-11,Referral,220
2023-07-11,Paid Search,186
2023-07-11,Paid Social,84
2023-07-11,Organic Shopping,31
2023-07-11,Paid Shopping,6
2023-07-12,Paid Other,6568
2023-07-12,Organic Social,2548
2023-07-12,Display,1516
2023-07-12,Cross-network,1171
2023-07-12,Organic Search,900
2023-07-12,Direct,745
2023-07-12,Referral,257
2023-07-12,Paid Search,180
2023-07-12,Unassigned,175
2023-07-12,Paid Social,109
2023-07-12,Organic Shopping,21
2023-07-12,Paid Shopping,4
2023-07-13,Paid Other,7950
2023-07-13,Organic Social,2629
2023-07-13,Display,2401
2023-07-13,Cross-network,1020
2023-07-13,Organic Search,837
2023-07-13,Direct,798
2023-07-13,Referral,362
2023-07-13,Unassigned,197
2023-07-13,Paid Search,178
2023-07-13,Paid Social,131
2023-07-13,Organic Shopping,24
2023-07-13,Paid Shopping,8
2023-07-14,Paid Other,8224
2023-07-14,Organic Social,2872
2023-07-14,Display,1946
2023-07-14,Cross-network,1014
2023-07-14,Organic Search,833
2023-07-14,Direct,754
2023-07-14,Organic Shopping,717
2023-07-14,Referral,306
2023-07-14,Unassigned,232
2023-07-14,Paid Search,193
2023-07-14,Paid Social,95
2023-07-14,Paid Shopping,13
2023-07-15,Paid Other,5924
2023-07-15,Organic Social,2703
2023-07-15,Display,1681
2023-07-15,Cross-network,925
2023-07-15,Organic Search,864
2023-07-15,Direct,665
2023-07-15,Organic Shopping,429
2023-07-15,Referral,266
2023-07-15,Unassigned,222
2023-07-15,Paid Search,207
2023-07-15,Paid Social,142
2023-07-15,Paid Shopping,10
2023-07-16,Paid Other,7371
2023-07-16,Display,3105
2023-07-16,Organic Social,2534
2023-07-16,Cross-network,1585
2023-07-16,Organic Search,969
2023-07-16,Direct,774
2023-07-16,Referral,379
2023-07-16,Unassigned,265
2023-07-16,Paid Search,205
2023-07-16,Paid Social,115
2023-07-16,Organic Shopping,91
2023-07-16,Paid Shopping,7
2023-07-17,Paid Other,8320
2023-07-17,Organic Social,3505
2023-07-17,Display,2708
2023-07-17,Cross-network,1241
2023-07-17,Direct,954
2023-07-17,Organic Search,903
2023-07-17,Referral,416
2023-07-17,Unassigned,254
2023-07-17,Paid Search,172
2023-07-17,Paid Social,111
2023-07-17,Organic Shopping,78
2023-07-17,Paid Shopping,8
2023-07-18,Paid Other,8322
2023-07-18,Organic Social,5002
2023-07-18,Display,1360
2023-07-18,Direct,1138
2023-07-18,Organic Search,907
2023-07-18,Cross-network,871
2023-07-18,Referral,241
2023-07-18,Unassigned,230
2023-07-18,Paid Search,187
2023-07-18,Paid Social,118
2023-07-18,Organic Shopping,75
2023-07-18,Paid Shopping,2
2023-07-19,Paid Other,8585
2023-07-19,Organic Social,4693
2023-07-19,Display,2274
2023-07-19,Cross-network,1576
2023-07-19,Direct,1195
2023-07-19,Organic Search,927
2023-07-19,Referral,296
2023-07-19,Paid Search,195
2023-07-19,Unassigned,194
2023-07-19,Paid Social,94
2023-07-19,Organic Shopping,38
2023-07-19,Paid Shopping,7
2023-07-20,Paid Other,8423
2023-07-20,Organic Social,4659
2023-07-20,Display,1817
2023-07-20,Direct,1046
2023-07-20,Organic Search,884
2023-07-20,Cross-network,751
2023-07-20,Referral,238
2023-07-20,Unassigned,212
2023-07-20,Paid Search,187
2023-07-20,Paid Social,111
2023-07-20,Organic Shopping,33
2023-07-20,Paid Shopping,7
2023-07-21,Paid Other,9409
2023-07-21,Organic Social,4210
2023-07-21,Display,2438
2023-07-21,Cross-network,1141
2023-07-21,Direct,1074
2023-07-21,Organic Search,968
2023-07-21,Organic Shopping,614
2023-07-21,Referral,278
2023-07-21,Paid Social,250
2023-07-21,Unassigned,228
2023-07-21,Paid Search,197
2023-07-21,Paid Shopping,4
2023-07-22,Paid Other,9213
2023-07-22,Organic Social,9108
2023-07-22,Display,1958
2023-07-22,Direct,1661
2023-07-22,Cross-network,1349
2023-07-22,Organic Search,1024
2023-07-22,Unassigned,384
2023-07-22,Organic Shopping,294
2023-07-22,Referral,257
2023-07-22,Paid Search,244
2023-07-22,Paid Social,224
2023-07-22,Paid Shopping,13
2023-07-23,Paid Other,8377
2023-07-23,Organic Social,5358
2023-07-23,Display,3204
2023-07-23,Cross-network,1727
2023-07-23,Direct,1188
2023-07-23,Organic Search,1052
2023-07-23,Unassigned,340
2023-07-23,Referral,337
2023-07-23,Paid Social,318
